,dialogue
96,"Yeah maybe, fat right?"
97,"I wouldn't go so far as to call the brother fat. He's got a weight problem. What's the nigger gonna do, he's Samoan."
98,"I think I know who you mean, what about him?"
99,"Well, Marsellus fucked his ass up good. And word around the campfire, it was on account of Marsellus Wallace's wife."
100,"What'd he do, fuck her?"
101,"No no no no no no no, nothin' that bad."
102,Well what then?
103,He gave her a foot massage.
104,That's all?
105,What did Marsellus do?
106,"Sent a couple of guys over to his place. They took him out on the patio of his apartment, threw his ass over the balcony. Nigger fell four stories. They had this garden at the bottom, enclosed in glass, like one of them greenhouses – nigger fell through that. Since then, he's kinda developed a speech impediment."
107,That's a damn shame.
108,"Still I hafta say, play with matches, ya get burned."
109,Whaddya mean?
110,You don't be givin' Marsellus Wallace's new bride a foot massage.
111,You don't think he overreacted?
112,"Antwan probably didn't expect Marsellus to react like he did, but he had to expect a reaction."
113,"It was a foot massage, a foot massage is nothing, I give my mother a foot massage."
114,"It's laying hands on Marsellus Wallace's new wife in a familiar way. Is it as bad as eatin' her out – no, but you're in the same fuckin' ballpark."
115,JULES
116,"Whoa... whoa... whoa... stop right there. Eatin' a bitch out, and givin' a bitch a foot massage ain't even the same fuckin' thing."
117,"Not the same thing, the same ballpark."
118,"It ain't no ballpark either. Look maybe your method of massage differs from mine, but touchin' his lady's feet, and stickin' your tongue in her holyiest of holyies, ain't the same ballpark, ain't the same league, ain't even the same fuckin' sport. Foot massages don't mean shit."
119,Have you ever given a foot massage?
120,Don't be tellin' me about foot massages – I'm the foot fuckin' master.
121,Given a lot of 'em?
122,"Shit yeah. I got my technique down man, I don't tickle or nothin'."
123,Fuck you.
124,How many? Fuck you.
125,Would you give me a foot massage – I'm kinda tired.
126,"Man, you best back off, I'm gittin' pissed"
127,– this is the door.
128,What time is it?
129,(checking his watch) Seven-twenty-two in the morning.
130,"It ain't quite time, let's hang back."
131,"Look, just because I wouldn't give no man a foot massage, don't make it right for Marsellus to throw Antwan off a building into a glass-motherfuckin-house, fuckin' up the way the nigger talks. That ain't right, man. Motherfucker do that to me, he better paralyze my ass, 'cause I'd kill'a motherfucker."
132,"I'm not sayin' he was right, but you're sayin' a foot massage don't mean nothing, and I'm sayin' it does. I've given a million ladies a million foot massages and they all meant somethin'. We act like they don't, but they do. That's what's so fuckin' cool about 'em. This sensual thing's goin' on that nobody's talkin about, but you know"
133,"it and she knows it, fuckin'Marsellus knew it, and Antwan shoulda known fuckin' better. That's his fuckin' wife, man. He ain't gonna have a sense of humor about that shit."
134,"That's an interesting point, but let's get into character."
135,What's her name again?
136,Mia. Why you so interested in big man's wife?
137,"Well, Marsellus is leavin' for Florida and when he's gone, he wants me to take care of Mia."
138,Take care of her?
139,Not that! Take her out. Show her a good time. Don't let her get lonely.
140,You're gonna be takin'MIA Wallace out on a date?
141,It ain't a date. It's like when you and your buddy's wife go to a movie or somethin'. It's just... you know... good company.
142,It's not a date.
143,Hey kids.
144,We're doin' okay.
145,Do you know who we are?
146,"We're associates of your business partner Marsellus Wallace, you remember your business partner dont'ya?"
147,I'm Brett.
148,"I thought so. Well, you remember your business partner Marsellus Wallace, dont'ya Brett?"
149,I remember him.
150,"Good for you. Looks like me and Vincent caught you at breakfast, sorry 'bout that. What'cha eatin'?"
151,Hamburgers.
152,Hamburgers. The cornerstone of any nutritious breakfast. What kinda hamburgers?
153,Cheeseburgers.
154,"No, I mean where did you get'em? MacDonald's, Wendy's, Jack-in-the-Box, where?"
155,Big Kahuna Burger.
156,"Big Kahuna Burger. That's that Hawaiian burger joint. I heard they got some tasty burgers. I ain't never had one myself, how are they?"
157,They're good.
158,Mind if I try one of yours?
159,No.
160,"Yours is this one, right?"
161,Yeah.
162,"Vince, you ever try a Big Kahuna Burger?"
163,No.
164,"You wanna bite, they're real good."
165,I ain't hungry.
166,"Well, if you like hamburgers give 'em a try sometime. Me, I can't usually eat 'em 'cause my girlfriend's a vegetarian. Which more or less makes me a vegetarian, but I sure love the taste of a good burger."
167,You know what they call a Quarter Pounder with Cheese in France?
168,No.
169,"Tell 'em, Vincent."
170,Royale with Cheese.
171,"Royale with Cheese, you know why they call it that?"
172,Because of the metric system?
173,"Check out the big brain on Brett. You'a smart motherfucker, that's"
174,right. The metric system.
175,What's in this?
176,Sprite.
177,"Sprite, good, mind if I have some of your tasty beverage to wash this down with?"
178,Sure.
179,"Uuuuummmm, hit's the spot!"
180,"You, Flock of Seagulls, you know what we're here for?"
181,"Then why don't you tell my boy here Vince, where you got the shit hid."
182,It's under the be –
183,– I don't remember askin' you a goddamn thing.
184,(to Roger) You were sayin'?
185,It's under the bed.
186,Got it.
187,We happy?
188,Vincent!
189,We happy?
190,We're happy.
191,"Look, what's your name? I got his name'sVINCENT, but what's yours?"
192,"My name's Pitt, and you ain't talkin' your ass outta this shit."
193,"I just want you to know how sorry we are about how fucked up things got between us and Mr. Wallace. When we entered into this thing, we only had the best intentions –"
194,"Oh, I'm sorry. Did that break your concentration? I didn't mean to do that. Please, continue. I believe you were saying something about ""best intentions."""
195,"Whatsamatter? Oh, you were through anyway. Well, let me retort. Would you describe for me what Marsellus Wallace looks like?"
196,What country you from!
197,What?
198,"""What"" ain't no country I know! Do they speak English in ""What?"""
199,What?
200,English-motherfucker-can-you-speak-it?
201,Yes.
202,Then you understand what I'm sayin'?
203,Yes.
204,Now describe what Marsellus Wallace looks like!
205,"Say ""What"" again! C'mon, say ""What"" again! I dare ya, I double dare ya motherfucker, say ""What"" one more goddamn time!"
206,Now describe to me what Marsellus Wallace looks like!
207,– go on!
208,... and he's... he's... bald –
209,– does he look like a bitch?!
210,What?
211,Does-he-look-like-a-bitch?!
212,No.
213,Then why did you try to fuck 'im like a bitch?!
214,"Yes ya did Brett. Ya tried ta fuck 'im. You ever read the Bible, Brett?"
215,Yes.
216,"There's a passage I got memorized, seems appropriate for this situation: Ezekiel 25:17. ""The path of the righteous man is beset on all sides by the inequities of the selfish and the tyranny of evil men. Blessed is he who, in the name of charity and good will, shepherds the weak through the valley of darkness, for he is truly his brother's keeper and the finder of lost children. And I will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brothers. And you will know my name is the Lord when I lay my vengeance upon you."""
217,"I think you're gonna find – when all this shit is over and done – I think you're gonna find yourself one smilin' motherfucker. Thing is Butch, right now you got ability. But painful as it may be, ability don't last. Now that's a hard motherfuckin' fact of life, but it's a fact of life your ass is gonna hafta git realistic about. This business is filled to the brim with unrealistic motherfuckers who thought their ass aged like wine."
218,"Besides, even if you went all the way, what would you be? Feather-weight champion of the world. Who gives a shit? I doubt you can even get a credit card based on that."
219,"Now the night of the fight, you may fell a slight sting, that's pride fuckin' wit ya. Fuck pride! Pride only hurts, it never helps. Fight through that shit. 'Cause a year from now, when you're kickin' it in the Caribbean you're gonna say, ""Marsellus Wallace was right."""
220,I got no problem with that.
221,"In the fifth, your ass goes down."
222,Say it!
223,"In the fifth, my ass goes down."
224,"Vincent Vega, our man in Amsterdam, git your ass on in here."
225,Where's the big man?
226,"He's over there, finishing up some business."
227,"Hand back for a second or two, and when you see the white boy leave, go on over. In the meanwhile, can I make you an espresso?"
228,How 'bout a cup of just plain ol' American?
229,Comin' up. I hear you're taking Mia out tomorrow?
230,At Marsellus' request.
231,ENGLISH DAVE
232,Have you met Mia?
233,Not yet.
234,What's so funny?
235,Not a goddamn thing.
236,"Look, I'm not a idiot. She's the big man's fuckin' wife. I'm gonna sit across a table, chew my food with my mouth closed, laugh at her jokes and that's all I'm gonna do."
237,"My name's Paul, and this is between y'all."
238,(to English Dave) Can I get a pack'a Red Apples?
239,Filters?
240,Non.
241,"Lookin' at somethin', friend?"
242,"I ain't your friend, palooka."
243,What was that?
244,"I think ya heard me just fine, punchy."
245,"Vincent Vega has entered the building, git your ass over here!"
246,"Pack of Red Apples, dollar-forty."
247,... I'll lend it to you. It's a great book on body piercing.
248,"You know how they use that gun when they pierce your ears? They don't use that when they pierce your nipples, do they?"
249,"Forget that gun. That gun goes against the entire idea behind piercing. All of my piercing, sixteen places on my body, every one of 'em done with a needle. Five in each ear. One through the nipple on my left breast. One through my right nostril. One through my left eyebrow. One through my lip. One in my clit. And I wear a stud in my tongue."
250,"Excuse me, sorry to interrupt. I'm curious, why would you get a stud in your tongue?"
251,It's a sex thing. It helps fellatio.
252,"Vince, you can come in now!"
253,"Now this is Panda, from Mexico. Very good stuff. This is Bava, different, but equally good. And this is Choco from the Hartz Mountains of Germany. Now the first two are the same, forty-five an ounce – those are friend prices – but this one..."
254,"... this one's a little more expensive. It's fifty-five. But when you shoot it, you'll know where that extra money went. Nothing wrong with the first two. It's real, real, real, good shit. But this one's a fuckin' madman."
255,"Remember, I just got back from Amsterdam."
256,"Am I a nigger? Are you in Inglewood? No. You're in my house. White people who know the difference between good shit and bad shit, this is the house they come to. My shit, I'll take the Pepsi Challenge with Amsterdam shit any ol' day of the fuckin' week."
257,That's a bold statement.
258,"This ain't Amsterdam, Vince. This is a seller's market. Coke is fuckin' dead as disco. Heroin's comin' back in a big fuckin' way. It's this whole seventies retro. Bell bottoms, heroin, they're as hot as hell."
259,"Give me three hundred worth of the madman. If it's as good as you say, I'll be back for a thousand."
260,"I just hope I still have it. Whaddya think of Trudi? She ain't got a boyfriend, wanna hand out an' get high?"
261,Which one's Trudi? The one with all the shit in her face?
262,I'm on my way somewhere. I got a dinner engagement. Rain check?
263,No problem?
264,You don't mind if I shoot up here?
265,"Me casa, su casa."
266,Mucho gracias.
267,Still got your Malibu?
268,You know what some fucker did to it the other day?
269,Fuckin' keyed it.
270,"Oh man, that's fucked up."
271,"Tell me about it. I had the goddamn thing in storage three years. It's out five fuckin' days – five days, and some dickless piece of shit fucks with it."
272,"They should be fuckin' killed. No trial, no jury, straight to execution."
273,"I just wish I caught 'em doin' it, ya know? Oh man, I'd give anything to catch 'em doin' it. It'a been worth his doin' it, if I coulda just caught 'em, you know what I mean?"
274,It's chicken shit. You don't fuck another man's vehicle.
275,"Hi, Vincent. I'm getting dressed. The door's open. Come inside and make yourself a drink."
276,Hello?
277,Vincent.
278,(over intercom) Vincent. I'm on the intercom.
279,It's on the wall by the two African fellas.
280,(over intercom) To your right.
281,... warm. Warmer. Disco.
282,Hello.
283,Push the button if you want to talk.
284,Hello.
285,"Go make yourself a drink., and I'll be down in two shakes of a lamb's tail."
286,(over intercom) The bar's by the fireplace.
287,Let's go.
288,What the fuck is this place?
289,This is Jackrabbit Slim's. An Elvis man should love it.
290,"Come on, Mia, let's go get a steak."
291,"You can get a steak here, daddy-o. Don't be a..."
292,"After you, kitty-cat."
293,"Hi I'm Buddy, what can I get'cha?"
294,I'll have the Douglas Sirk steak.
295,"How d'ya want it, burnt to a crisp, or bloody as hell?"
296,"Bloody as hell. And to drink, a vanilla coke."
297,BUDDY
298,"How 'bout you, Peggy Sue?"
299,I'll have the Durwood Kirby burger – bloody – and a five-dollar shake.
300,"How d'ya want that shake, Martin and Lewis, or Amos and Andy?"
301,Martin and Lewis.
302,Did you just order a five-dollar shake?
303,Sure did.
304,A shake? Milk and ice cream?
305,Uh-huh.
306,It costs five dollars?
307,Yep.
308,You don't put bourbon in it or anything?
309,Nope.
310,Just checking.
311,Whaddya think?
312,It's like a wax museum with a pulse rate.
313,What are you doing?
314,Rollin' a smoke.
315,Here?
316,It's just tobacco.
317,"Oh. Well in that case, will you roll me one, cowboy?"
318,"You can have his one, cowgirl."
319,Think nothing of it.
320,Marsellus said you just got back from Amsterdam.
321,Sure did. I heard you did a pilot.
322,That was my fifteen minutes.
323,What was it?
324,"It was show about a team of female secret agents called ""Fox Force Five."""
325,What?
326,"""Fox Force Five.""Fox, as in we're a bunch of foxy chicks. Force, as in we're a force to be reckoned with. Five, as in there's one... two ... three... four... five of us. There was a blonde one, Sommerset O'Neal from that show ""Baton Rouge,"" she was the leader. A Japanese one, a black one, a French one and a brunette one, me. We all had special skills. Sommerset had a photographic memory, the Japanese fox was a kung fu master, the black girl was a demolition expert, the French fox' specialty was sex..."
327,What was your specialty?
328,"Knives. The character I played, Raven McCoy, her background was she was raised by circus performers. So she grew up doing a knife act. According to the show, she was the deadliest woman in the world with a knife. But because she grew up in a circus, she was also something of an acrobat. She could do illusions, she was a trapeze artist – when you're keeping the world safe from evil, you never know when being a trapeze artist's gonna come in handy. And she knew a zillion old jokes her grandfather, an old vaudevillian, taught her. If we woulda got picked up, they woulda worked in a gimmick where every episode I woulda told and ol joke."
329,Do you remember any of the jokes?
330,"Well I only got the chance to say one, 'cause we only did one show."
331,Tell me.
332,No. It's really corny.
333,"C'mon, don't be that way."
334,No. You won't like it and I'll be embarrassed.
335,You told it in front of fifty million people and you can't tell it to me? I promise I won't laugh.
336,(laughing) That's what I'm afraid of.
337,That's not what I meant and you know it.
338,"You're quite the silver tongue devil, aren't you?"
339,I meant I wouldn't laugh at you.
340,"That's not what you said Vince. Well now I'm definitely not gonna tell ya, 'cause it's been built up too much."
341,What a gyp.
342,Can I have a sip of that? I'd like to know what a five-dollar shake tastes like.
343,Be my guest.
344,"You can use my straw, I don't have kooties."
345,"Yeah, but maybe I do."
346,Kooties I can handle.
347,Goddamn! That's a pretty fuckin' good milk shake.
348,Told ya.
349,"I don't know if it's worth five dollars, but it's pretty fuckin'	good."
350,Don't you hate that?
351,What?
352,Uncomfortable silences. Why do we feel it's necessary to yak about bullshit in order to be comfortable?
353,I don't know.
354,"That's when you know you found somebody special. When you can just shit the fuck up for a minute, and comfortably share silence."
355,"I don't think we're there yet. But don't feel bad, we just met each other."
356,"Well I'll tell you what, I'll go to the bathroom and powder my nose, while you sit here and think of something to say."
357,I'll do that.
358,(imitating Steppenwolf) I said goddamn!
359,Don't you love it when you go to the bathroom and you come back to find your food waiting for you?
360,We're lucky we got it at all. Buddy Holly doesn't seem to be much of a waiter. We shoulda sat in Marilyn Monroe's section.
361,"Which one, there's two Marilyn Monroes."
362,No there's not.
363,That's Marilyn Monroe...
364,"... and that's Mamie Van Doren. I don't see Jayne Mansfield, so it must be her night off."
365,Pretty smart.
366,I have moments.
367,Did ya think of something to say?
368,"Actually, there's something I've wanted to ask you about, but you seem like a nice person, and I didn't want to offend you."
369,"Oooohhhh, this doesn't sound like mindless, boring, getting-to-know-you chit-chat. This sounds like you actually have something to say."
370,Only if you promise not to get offended.
371,"You can't promise something like that. I have no idea what you're gonna ask. You could ask me what you're gonna ask me, and my natural response could be to be offended. Then, through no fault of my own, I woulda broken my promise."
372,Then let's just forget it.
373,That is an impossibility. Trying to forget anything as intriguing as this would be an exercise in futility.
374,Is that a fact?
375,"Besides, it's more exciting when you don't have permission."
376,What do you think about what happened to Antwan?
377,Who's Antwan?
378,Tony Rocky Horror.
379,He fell out of a window.
380,"That's one way to say it. Another way is, he was thrown out. Another was is, he was thrown out by Marsellus. And even another way is, he was thrown out of a window by Marsellus because of you."
381,Is that a fact?
382,"No it's not, it's just what I heard."
383,Who told you this?
384,They.
385,"They talk a lot, don't they?"
386,They certainly do.
387,"Well don't by shyVincent, what exactly did they say?"
388,"Let me help you Bashful, did it involve the F-word?"
389,No. They just said Rocky Horror gave you a foot massage.
390,And...?
391,"No and, that's it."
392,You heard Marsellus threw Rocky Horror out of a four-story window because he massaged my feet?
393,And you believed that?
394,"At the time I was told, it seemed reasonable."
395,Marsellus throwing Tony out of a four- story window for giving me a foot massage seemed reasonable?
396,"No, it seemed excessive. But that doesn't mean it didn't happen. I heard Marsellus is very protective of you."
397,A husband being protective of his wife is one thing. A husband almost killing another man for touching his wife's feet is something else.
398,But did it happen?
399,"The only thing Antwan ever touched of mine was my hand, when he shook it. I met Anwan once – at my wedding – then never again."
400,"The truth is, nobody knows why Marsellus tossed Tony Rocky Horror out of that window except Marsellus and Tony Rocky Horror. But when you scamps get together, you're worse than a sewing circle."
401,"Ladies and gentlemen, now the moment you've all been waiting for, the world- famous Jackrabbit Slim's twist contest."
402,... One lucky couple will win this handsome trophy that Marilyn here is holding.
403,"... Now, who will be our first contestants?"
404,Right here.
405,I wanna dance.
406,"No, no, no no, no, no, no, no."
407,"No, no, no, no, no, no, no. I do believe Marsellus, my husband, your boss, told you to take me out and do whatever I wanted, Now, I want to dance. I want to win. I want that trophy."
408,(sighs) All right.
409,"So, dance good."
410,"All right, you asked for it."
411,Let's hear it for our first contestants.
412,"Now let's meet our first contestants here this evening. Young lady, what is your name?"
413,(into microphone) Missus Mia Wallace.
414,"And, uh, how 'bout your fella here?"
415,(into microphone) Vincent Vega.
416,"All right, let's see what you can do. Take it away!"
417,Was than an uncomfortable silence?
418,Music and drinks!
419,I'm gonna take a piss.
420,"That was a little bit more information than I needed to know, but for right ahead."
421,"(like you would say Bingo!) Disco! Vince, you little cola nut, you've been holding out on me."
422,"One drink and leave. Don't be rude, but drink your drink quickly, say goodbye, walk out the door, get in your car, and go down the road."
423,"... It's a moral test of yourself, whether or not you can maintain loyalty. Because when people are loyal to each other, that's very meaningful."
424,"So you're gonna go out there, drink your drink, say ""Goodnight, I've had a very lovely evening,"" go home, and jack off. And that's all you're gonna do."
425,Jesus Christ!
426,Mia! MIA! What the hell happened?
427,(to himself) I'll be a son-of-a-bitch.
428,"Mia! MIA! What did you take? Answer me honey, what did you take?"
429,"Okay honey, we're getting you on your feet."
430,"We're on our feet now, and now we're gonna talk out to the car. Here we go, watch us walk."
431,"Hold hands, you love birds."
432,Lance! The phone's ringing!
433,(calling back) I can hear it!
434,I thought you told those fuckin' assholes never to call this late!
435,I told 'em and that's what I'm gonna tell this fuckin' asshole right now!
436,"Hello, do you know how late it is? You're not supposed to be callin' me this fuckin' late."
437,"Lance, this is Vincent, I'm in big fuckin' trouble man, I'm on my way to your place."
438,"Whoa, hold you horses man, what's the problem?"
439,You still got an adrenalin shot?
440,Maybe.
441,"I need it man, I got a chick she's fuckin' ODing on me."
442,"Don't bring her here! I'm not even fuckin' joking with you, don't you be bringing some fucked up pooh-butt to my house!"
443,No choice.
444,She's ODin'?
445,Yeah. She's dyin'.
446,"Then bite the fuckin' bullet, take 'er to a hospital and call a lawyer!"
447,Negative.
448,"She ain't my fuckin' problem, you fucked her up, you deal with it – are you talkin' to me on a cellular phone?"
449,Sorry.
450,"I don't know you, who is this, don't come here, I'm hangin' up."
451,"Too late, I'm already here."
452,What the hell was that?
453,Have you lost your mind?! You crashed your car in my fuckin' house! You talk about drug shit on a cellular fuckin' phone –
454,"If you're through havin' your little hissy fit, this chick is dyin', get your needle and git it now!"
455,Are you deaf? You're not bringin' that fucked up bitch in my house!
456,"This fucked up bitch is Marsellus Wallace's wife. Now if she fuckin' croaks on me, I'm a grease spot. But before he turns me into a bar soap, I'm gonna be forced to tell 'im about how you coulda saved her life, but instead you let her die on your front lawn."
457,It's only one-thirty in the goddamn mornin'! What the fuck's goin' on out here?
458,Get that black box in the bedroom I have with the adrenalin shot.
459,What's wrong with her?
460,She's ODing on us.
461,Well get her the hell outta here!
462,(in stereo) Get the fuckin' shot!
463,Don't yell and me!
464,You two are a match made in heaven.
465,"Look, just keep talkin' to her, okay? While she's gettin' the shot, I gotta get a medical book."
466,What do you need a medical book for?
467,To tell me how to do it. I've never given an adrenalin shot before.
468,You've had that thing for six years and you never used it?
469,"I never had to use it. I don't go joy- poppin' with bubble-gummers, all of myfriends can handle their highs!"
470,Well then get it.
471,"I am, if you'll let me."
472,I'm not fuckin' stoppin' you.
473,"Stop talkin' to me, and start talkin' to her."
474,Hurry up man! We're losin' her!
475,I'm looking as fast as I can!
476,What's he lookin' for?
477,"I dunno, some medical book."
478,What are you lookin' for?
479,My black medical book!
480,Whata re you looking for?
481,My black fuckin' medical book. It's like a text book they give to nurses.
482,I never saw a medical book.
483,"Trust me, I have one."
484,"Well if it's that important, why didn't you keep it with the shot?"
485,I don't know! Stop bothering me!
486,"While you're lookin' for it, that girl's gonna die on our carpet. You're never gonna find it in all this shit. For six months now, I've been telling you to clean this room –"
487,Quit fuckin' around man and give her the shot!
488,"While I'm doing this, take her shirt off and find her heart."
489,Does it have to be exact?
490,"Yeah, it has to be exact! I'm giving her an injection in the heart, so I gotta exactly hit her in the heart."
491,"Well, I don't know exactly where her heart is, I think it's here."
492,That's it.
493,"I need a big fat magic marker, got one?"
494,What?
495,"I need a big fat magic marker, any felt pen'll do, but a magic marker would be great."
496,Hold on.
497,"It's ready, I'll tell you what to do."
498,You're gonna give her the shot.
499,"No, you're gonna give her the shot."
500,I've never does this before.
501,"I've never done this before either, and I ain't starting now. You brought 'er here, that means you give her the shot. The day I bring an ODing bitch to your place, then I gotta give her the shot."
502,Got it.
503,"Okay, what do I do?"
504,"Well, you're giving her an injection of adrenalin straight to her heart. But she's got a breast plate in front of her heart, so you gotta pierce through that. So what you gotta do is bring the needle down in a stabbing motion."
505,I gotta stab her?
506,"If you want the needle to pierce through to her heart, you gotta stab her hard."
507,"Then once you do, push down on the plunger."
508,What happens after that?
509,I'm curious about that myself.
510,This ain't a fuckin' joke man!
511,– that.
512,Count to three.
513,One...
514,... two...
515,... three!
516,"If you're okay, say something."
517,Something.
518,Anybody want a beer?
519,What are your thoughts on how to handle this?
520,I seriously doubt that.
521,"If you can keep a secret, so can I."
522,Let's shake on it.
523,Mum's the word.
524,"If you'll excuse me, I gotta go home and have a heart attack."
525,"You still wanna hear my ""FOX FORCE FIVE"" joke?"
526,"Sure, but I think I'm still a little too petrified to laugh."
527,"Uh-huh. You won't laugh because it's not funny. But if you still wanna hear it, I'll tell it."
528,I can't wait.
529,"Three tomatoes are walking down the street, a poppa tomato, a momma tomato, and a little baby tomato. The baby tomato is lagging behind the poppa and momma tomato. The poppa tomato gets mad, goes over to the momma tomato and stamps on him"
530,– and says: catch up.
531,"See ya 'round, Vince."
532,Butch.
533,"Butch, stop watching TV a second. We got a special visitor. Now do you remember when I told you your daddy dies in a P.O.W. camp?"
534,Well this here is Capt. Koons. He was in the P.O.W. camp with Daddy.
535,"Hello, little man. Boy I sure heard a bunch about you. See, I was a good friend of your Daddy's. We were in that Hanoi pit of hell over five years together."
