,dialogue,label
328,"Knives . The character I played , Raven McCoy , her background wa she wa raised by circus performer . So she grew up doing a knife act . According to the show , she wa the deadliest woman in the world with a knife . But because she grew up in a circus , she wa also something of an acrobat . She could do illusion , she wa a trapeze artist – when you are keeping the world safe from evil , you never know when being a trapeze artist is gon na come in handy . And she knew a zillion old joke her grandfather , an old vaudevillian , taught her . If we woulda got picked up , they woulda worked in a gimmick where every episode I woulda told and ol joke .",Neither
329,Do you remember any of the joke ?,Neither
330,"Well I only got the chance to say one , 'cause we only did one show .",Neither
331,Tell me .,Neither
332,No . It is really corny .,Neither
333,"C amon , do not be that way .",Neither
334,No . You will not like it and I will be embarrassed .,Neither
335,You told it in front of fifty million people and you can not tell it to me ? I promise I will not laugh .,Neither
336,( laughing ) That is what I am afraid of .,Neither
337,That is not what I meant and you know it .,Neither
339,I meant I would not laugh at you .,Neither
340,"That is not what you said Vince . Well now I am definitely not gon na tell ya , 'cause it is been built up too much .",Neither
342,Can I have a sip of that ? I would like to know what a five-dollar shake taste like .,Neither
343,Be my guest .,Neither
344,"You can use my straw , I do not have kooties .",Neither
345,"Yeah , but maybe I do .",Neither
349,"I do not know if it is worth five dollar , but it is pretty fuckin' good .",Neither
350,Do not you hate that ?,Neither
351,What ?,Neither
353,I do not know .,Neither
355,"I do not think we are there yet . But do not feel bad , we just met each other .",Neither
357,I will do that .,Neither
359,Do not you love it when you go to the bathroom and you come back to find your food waiting for you ?,Neither
360,We are lucky we got it at all . Buddy Holly doe not seem to be much of a waiter . We shoulda sat in Marilyn Monroe is section .,Neither
361,"Which one , there is two Marilyn Monroes .",Neither
362,No there is not .,Neither
363,That is Marilyn Monroe ...,Neither
364,"... and that is Mamie Van Doren . I do not see Jayne Mansfield , so it must be her night off .",Neither
365,Pretty smart .,Neither
366,I have moment .,Neither
367,Did ya think of something to say ?,Neither
368,"Actually , there is something I have wanted to ask you about , but you seem like a nice person , and I did not want to offend you .",Neither
372,Then let is just forget it .,Neither
373,That is an impossibility . Trying to forget anything a intriguing a this would be an exercise in futility .,Neither
374,Is that a fact ?,Neither
375,"Besides , it is more exciting when you do not have permission .",Neither
376,What do you think about what happened to Antwan ?,Neither
377,Who is Antwan ?,Neither
378,Tony Rocky Horror .,Neither
379,He fell out of a window .,Neither
380,"That is one way to say it . Another way is , he wa thrown out . Another wa is , he wa thrown out by Marsellus . And even another way is , he wa thrown out of a window by Marsellus because of you .",Neither
381,Is that a fact ?,Neither
382,"No it is not , it is just what I heard .",Neither
383,Who told you this ?,Neither
384,They .,Neither
385,"They talk a lot , do not they ?",Neither
386,They certainly do .,Neither
387,"Well do not by shyVincent , what exactly did they say ?",Neither
389,No . They just said Rocky Horror gave you a foot massage .,Neither
390,And ... ?,Neither
391,"No and , that is it .",Neither
392,You heard Marsellus threw Rocky Horror out of a four-story window because he massaged my foot ?,Neither
393,And you believed that ?,Neither
394,"At the time I wa told , it seemed reasonable .",Neither
395,Marsellus throwing Tony out of a four- story window for giving me a foot massage seemed reasonable ?,Neither
397,A husband being protective of his wife is one thing . A husband almost killing another man for touching his wife is foot is something else .,Neither
398,But did it happen ?,Neither
399,"The only thing Antwan ever touched of mine wa my hand , when he shook it . I met Anwan once – at my wedding – then never again .",Neither
400,"The truth is , nobody know why Marsellus tossed Tony Rocky Horror out of that window except Marsellus and Tony Rocky Horror . But when you scamp get together , you are worse than a sewing circle .",Neither
401,"Ladies and gentleman , now the moment you have all been waiting for , the world- famous Jackrabbit Slim is twist contest .",Neither
402,... One lucky couple will win this handsome trophy that Marilyn here is holding .,Neither
403,"... Now , who will be our first contestant ?",Neither
404,Right here .,Neither
405,I wan na dance .,Neither
408,( sigh ) All right .,Neither
409,"So , dance good .",Neither
410,"All right , you asked for it .",Neither
411,Let is hear it for our first contestant .,Neither
412,"Now let is meet our first contestant here this evening . Young lady , what is your name ?",Neither
413,( into microphone ) Missus Mia Wallace .,Neither
414,"And , uh , how 'bout your fella here ?",Neither
415,( into microphone ) Vincent Vega .,Neither
416,"All right , let is see what you can do . Take it away !",Neither
418,Music and drink !,Neither
420,"That wa a little bit more information than I needed to know , but for right ahead .",Neither
423,"... It is a moral test of yourself , whether or not you can maintain loyalty . Because when people are loyal to each other , that is very meaningful .",Neither
425,Jesus Christ !,Neither
428,"Mia ! MIA ! What did you take ? Answer me honey , what did you take ?",Neither
431,"Hold hand , you love bird .",Neither
432,Lance ! The phone is ringing !,Neither
433,( calling back ) I can hear it !,Neither
438,"Whoa , hold you horse man , what is the problem ?",Neither
439,You still got an adrenalin shot ?,Neither
440,Maybe .,Neither
443,No choice .,Neither
445,Yeah . She is dying .,Neither
447,Negative .,Neither
449,Sorry .,Neither
451,"Too late , I am already here .",Neither
452,What the hell wa that ?,Neither
458,Get that black box in the bedroom I have with the adrenalin shot .,Neither
459,What is wrong with her ?,Neither
460,She is ODing on u .,Neither
463,Do not yell and me !,Neither
464,You two are a match made in heaven .,Neither
466,What do you need a medical book for ?,Neither
467,To tell me how to do it . I have never given an adrenalin shot before .,Neither
468,You have had that thing for six year and you never used it ?,Neither
470,Well then get it .,Neither
471,"I am , if you will let me .",Neither
475,I am looking a fast a I can !,Neither
476,What is he looking for ?,Neither
477,"I dunno , some medical book .",Neither
478,What are you looking for ?,Neither
479,My black medical book !,Neither
480,Whata re you looking for ?,Neither
482,I never saw a medical book .,Neither
483,"Trust me , I have one .",Neither
484,"Well if it is that important , why did not you keep it with the shot ?",Neither
489,Does it have to be exact ?,Neither
490,"Yeah , it ha to be exact ! I am giving her an injection in the heart , so I got ta exactly hit her in the heart .",Neither
491,"Well , I do not know exactly where her heart is , I think it is here .",Neither
492,That is it .,Neither
494,What ?,Neither
495,"I need a big fat magic marker , any felt pen will do , but a magic marker would be great .",Neither
496,Hold on .,Neither
497,"It is ready , I will tell you what to do .",Neither
500,I have never doe this before .,Neither
502,Got it .,Neither
503,"Okay , what do I do ?",Neither
508,What happens after that ?,Neither
509,I am curious about that myself .,Neither
511,– that .,Neither
512,Count to three .,Neither
513,One ...,Neither
514,... two ...,Neither
515,... three !,Neither
516,"If you are okay , say something .",Neither
517,Something .,Neither
519,What are your thought on how to handle this ?,Neither
520,I seriously doubt that .,Neither
521,"If you can keep a secret , so can I .",Neither
522,Let is shake on it .,Neither
523,Mum is the word .,Neither
526,"Sure , but I think I am still a little too petrified to laugh .",Neither
527,"Uh-huh . You will not laugh because it is not funny . But if you still wan na hear it , I will tell it .",Neither
528,I can not wait .,Neither
529,"Three tomato are walking down the street , a poppa tomato , a momma tomato , and a little baby tomato . The baby tomato is lagging behind the poppa and momma tomato . The poppa tomato get mad , go over to the momma tomato and stamp on him",Neither
530,– and say : catch up .,Neither
531,"See ya 'round , Vince .",Neither
532,Butch .,Neither
534,Well this here is Capt . Koons . He wa in the P.O.W . camp with Daddy .,Neither
537,"This watch I got here wa first purchased by your great-granddaddy . It wa bought during the First World War in a little general store in Knoxville , Tennessee . It wa bought by private Doughboy Ernie Coolidge the day he set sail for Paris . It wa your great-granddaddy is war watch , made by the first company to ever make wrist watch . You see , up until then , people just carried pocket watch . Your great-granddaddy wore that watch every day he wa in the war . Then when he had done his duty , he went home to your great- grandmother , took the watch off his wrist and put it in an ol ' coffee can . And in that can it stayed notil your grandfather Dane Coolidge wa called upon by his country to go overseas and fight the Germans once again . This time they called it World War Two . Your great-granddaddy gave it to your granddad for good luck .",Neither
538,"Unfortunately , Dane is luck wa not a good a his old man is . Your granddad wa a",Neither
539,"Marine and he wa killed with all the other Marines at the battle of Wake Island . Your granddad wa facing death and he knew it . None of those boy had any illusion about ever leaving that island alive . So three day before the Japanese took the island , your 22-year old grandfather asked a gunner on an Air Force transport named Winocki , a man he had never met before in his life , to deliver to his infant son , who he had never seen in the flesh , his gold watch . Three day later , your grandfather wa dead . But Winocki kept his word . After the war wa over , he paid a visit to your grandmother , delivering to your infant father , his Dad is gold watch . This watch . This watch wa on your Daddy is wrist when he wa shot down over Hanoi . He wa captured and put in a Vietnamese prison camp . Now he knew if the gook ever saw the watch it is be confiscated . The way your Daddy looked at it , that watch wa your birthright . And he would be damned if and slopeheads were gon na put their greasy yella hand on his boy is birthright . So he hid it in the one place he knew he could hide something . His as . Five long year , he wore this watch up his as . Then when he died of disentary , he gave me the watch . I hid with uncomfortable hunk of metal up my as for two year . Then , after seven year , I wa sent home to my family . And now , little man , I give the watch to you .",Neither
540,"It is time , Butch .",Neither
541,I am ready .,Neither
543,... Coolidge wa out of there faster than I have ever seen a victorious boxer vacate the ring . Do you think he knew Willis wa dead ?,Neither
544,"My guess would be yes , Richard . I could see from my position here , the frenzy in his eye give way to the realization of what he wa doing . I think any man would have left the ring that fast .",Neither
545,Do you feel this ring death tragedy will have an effect on the world of boxing ?,Neither
546,"Oh Dan , a tragedy like this can not help but shake the world of boxing to it very foundation . But it is of paramount importance that during the sad week ahead , the eye of the W.B.A . remain firmly fixed on the – CLICK –",Neither
547,Are you the man I wa supposed to pick up ?,Neither
548,"If you are the cab I called , I am the guy you are supposed to pick up .",Neither
549,Where to ?,Neither
551,Mia . How you doing ?,Neither
552,Great . I never thanked you for the dinner .,Neither
553,What'cha got ?,Neither
554,He booked .,Neither
556,I will take care of it .,Neither
557,"Hey , how do I open the window back here ?",Neither
558,I have to do it .,Neither
559,"Hey , mister ?",Neither
560,What ?,Neither
561,You were in that fight ? The fight on the radio – you are the fighter ?,Neither
562,Whatever gave you that idea ?,Neither
563,"No c amon , you are him , I know you are him , tell me you are him .",Neither
564,( drying himself with a gym towel ) I am him .,Neither
565,You killed the other boxing man .,Neither
566,He is dead ?,Neither
567,The radio said he wa dead .,Neither
568,"( to himself ) Sorry 'bout that , Floyd .",Neither
569,What doe it feel like ?,Neither
570,( find his shirt ) What doe what feel like ?,Neither
575,Deal !,Neither
576,So ...,Neither
578,"The name is Spanish , but I am Columbian .",Neither
579,It is a very pretty name .,Neither
581,"That is one hell of a name you got there , sister .",Neither
582,Thank you . And what is your name ?,Neither
583,Butch .,Neither
587,"– I could not tell ya . I did not know he wa dead notil you told me he wa dead . Now I know he is dead , do you wan na know how I feel about it ?",Neither
588,I do not feel the least little bit bad .,Neither
589,"What is I tell ya , soon a the word got out a fix wa in , the odds would be outta control . Hey , if he wa a better fighter he is be alive . If he never laced up his glove in the first place , which he never shoulda done , he would be alive . Enough about the poor unfortunate Mr. Floyd , let is talk about the rich and prosperous Mr. Butch .",Neither
590,How many bookie you spread it around with ?,Neither
591,"So by tomorrow evening , you will have it all ?",Neither
592,"Good news Scotty , real good news – I understand a few straggler aside . Me ang Fabienne are gon na leave in the morning . It should take u a couple day to get into Knoxville . Next time we see each other , it will be on Tennessee time .",Neither
593,"Fabienne my love , our adventure begin .",Neither
594,Forty-five sixty .,Neither
595,Merci beaucoup . And here is a little something for the effort .,Neither
598,"Bon soir , Esmarelda .",Neither
600,Keep the light off .,Neither
601,"Is that better , sugar pop ?",Neither
602,Oui . Hard day at the office ?,Neither
604,Poor baby . Can we make spoon ?,Neither
605,I wa looking at myself in the mirror .,Neither
606,Uh-huh ?,Neither
608,You were looking in the mirror and you wish you had some pot ?,Neither
610,"Well you should be happy , 'cause you do .",Neither
611,"Shut up , Fatso ! I do not have a pot ! I have a bit of a tummy , like Madonna when she did `` Lucky Star , '' it is not the same thing .",Neither
612,I did not realize there wa a difference between a tummy and a pot belly .,Neither
613,The difference is huge .,Neither
614,You want me to have a pot ?,Neither
615,"No . Pot belly make a man look either oafish , or like a gorilla . But on a woman , a pot belly is very sexy . The rest of you is normal . Normal face , normal leg , normal hip , normal as , but with a big , perfectly round pot belly . If I had one , I would wear a tee-shirt two size too small to accentuate it .",Neither
616,You think guy would find that attractive ?,Neither
617,I do not give a damn what men find attractive . It is unfortunate what we find pleasing to the touch and pleasing to the eye is seldom the same .,Neither
618,"If I had a pot belly , I would punch you in it .",Neither
620,Right in the belly .,Neither
622,You would do that to me ?,Neither
623,Yes !,Neither
624,"Did you get everything , sugar pop ?",Neither
625,"Yes , I did . Good job .",Neither
626,Did everything go a planned ?,Neither
627,You did not listen to the radio ?,Neither
628,I never listen to your fight . Were you the winner ?,Neither
629,I won alright .,Neither
630,Are you still retiring ?,Neither
631,Sure am .,Neither
633,Floyd retired too .,Neither
634,Really ? ! He will not be fighting no more ? !,Neither
635,Not no more .,Neither
636,So it all worked out in the finish ?,Neither
637,"We ai not at the finish , baby .",Neither
638,"We are in a lot of danger , are not we ?",Neither
640,"But they will not find u , will they ?",Neither
641,Do you still want me to go with you ?,Neither
642,I do not want to be a burden or a nuisance,Neither
644,Forever ?,Neither
645,... and ever .,Neither
646,Do you love me ?,Neither
647,Oui .,Neither
649,Will you kiss it ?,Neither
650,But you first .,Neither
652,I think I cracked a rib .,Neither
658,"Okay , sorry , sorry , sorry , I take it back ! Can I have a towel please , Miss Beautiful Tulip .",Neither
659,"Oh I like that , I like being called a tulip . Tulip is much better than Mongoloid .",Neither
661,Merci beaucoup .,Neither
662,"Yes , lemon pie .",Neither
663,Where are we going to go ?,Neither
664,"I am not sure yet . Wherever you want . We are gon na get a lot of money from this . But it ai not gon na be so much , we can live like hog in the fat house forever . I wa thinking we could go somewhere in the South Pacific . The kinda money we will have will carry u a long way down there .",Neither
665,"So if we wanted , we could live in Bora Bora ?",Neither
666,"You betcha . And if after awhile you do not dig Bora Bora , then we can move over to Tahiti or Mexico .",Neither
669,What doe that mean ?,Neither
670,Where is the shoe store ?,Neither
671,Donde esta el zapataria ?,Neither
672,Excellent pronunciation . You will be my little mama ceta in no time .,Neither
673,Que hora e ?,Neither
674,Que hora e ?,Neither
675,What time is it ?,Neither
676,What time is it ?,Neither
677,"Time for bed . Sweet dream , jellybean .",Neither
678,Butch .,Neither
679,Forget it .,Neither
681,What are you watching ?,Neither
682,"A motorcycle movie , I am not sure the name .",Neither
683,Are you watching it ?,Neither
684,In a way . Why ? Would you like for me to switch it off ?,Neither
685,Would you please ?,Neither
686,It is a little too early in the morning for explosion and war .,Neither
687,What wa it about ?,Neither
688,"How should I know , you were the one watching it .",Neither
690,"Oh , I ... do not remember . It is really rare I remember a dream .",Neither
691,You just woke up from it .,Neither
692,"Fabienne , I am not lying to you , I do not remember .",Neither
693,"Well , let is look at the grumpy man in the morning . I did not say you were lying , it is just odd you do not remember your dream . I always remember mine . Did you know you talk in your sleep ?",Neither
695,You did last night .,Neither
696,I do not know . I could not understand you .,Neither
697,Why do not you get up and we will get some breakfast at that breakfast place with the pancake .,Neither
699,Satisfied ? Yep .,Neither
700,"Then get up , lazy bone .",Neither
701,What time is it ?,Neither
703,Eleven .,Neither
704,"I am gon na order a big plate of blueberry pancake with maple syrup , egg over easy , and five sausage .",Neither
705,( surprised at her potential appetite ) Anything to drink with that ?,Neither
706,"Oh yes , that look nice . To drink , a tall glass or orange juice and a black cup of coffee . After that , I am going to have a slice of pie .",Neither
707,Pie for breakfast ?,Neither
708,"Any time of the day is a good time for pie . Blueberry pie to go with the pancake . And on top , a thin slice of melted cheese –",Neither
709,– where is my watch ?,Neither
710,It is there .,Neither
711,"No , it is not . It is not here .",Neither
712,Have you looked ?,Neither
715,Uhhh ... yes ... beside the table drawer –,Neither
716,– on the little kangaroo .,Neither
717,"Yes , it wa on your little kangaroo .",Neither
718,BUTCH,Neither
719,Well it is not here !,Neither
720,( on the verge of tear ) Well it should be !,Neither
721,"Oh it most definitely should be here , but it is not . So where is it ?",Neither
722,"Fabienne , that wa my father is fucking watch . You know what my father went through to git me that watch ? ... I do not wan na get into it right now ... but he went through a lot . Now all this other shit , you coulda set on fire , but I specifically reminded you not to forget my father is watch . Now think , did you get it ?",Neither
723,I believe so ...,Neither
724,"You believe so ? You either did , or you did not , now which one is it ?",Neither
725,Then I did .,Neither
726,Are you sure ?,Neither
727,No .,Neither
729,( he approached her ) You left it at the apartment .,Neither
730,"If you did leave it at the apartment , it is not your fault . I had you bring a bunch of stuff . I reminded you about it , but I did not illustrate how personal the watch wa to me . If all I gave a fuck about wa my watch , I should have told you . You ai not a mind reader .",Neither
731,I am sorry .,Neither
732,Do not be . It just mean I will not be able to eat breakfast with you .,Neither
733,Why doe it mean that ?,Neither
734,Because I am going back to my apartment to get my watch .,Neither
736,"That is what I am gon na find out . If they are , and I do not think I can handle it , I will split .",Neither
737,"I wa so dreadful . I saw your watch , I thought I brought it . I am so sorry .",Neither
739,"I love you , remember ?",Neither
740,"Now here is some money , order those pancake and have a great breakfast .",Neither
741,Do not go .,Neither
742,"I will be back before you can say , blueberry pie .",Neither
743,Blueberry pie .,Neither
744,"Well maybe not that fast , but fast . Okay ? Okay ?",Neither
745,Okay .,Neither
746,"Bye-bye , sugar pop .",Neither
747,Bye .,Neither
749,Okay .,Neither
750,"Of all the fucking thing she coulda forgot , she forgets my father is watch . I specifically reminded her not to forget it . `` Bedside table – on the kangaroo . '' I said the word : `` Do not forget my father is watch . ''",Neither
753,"Jesus , are you okay ?",Neither
754,I guess .,Neither
755,( to the others ) He is dead ! He is dead !,Neither
756,"If you need a witness in court , I will be glad to help . He wa a drunken maniac . He hit you and crashed into that car .",Neither
757,"Well , I will be damned .",Neither
758,Sacre bleu .,Neither
763,"So you like chasing people , huh ?",Neither
768,Zed ? It is Maynard . The spider just caught a coupl ' a fly .,Neither
770,That is Zed .,Neither
771,You said you waited for me ?,Neither
772,I did .,Neither
773,Then how come they are all beat up ?,Neither
777,"Yeah , it ai not Tuesday is it ?",Neither
778,"No , it is Thursday .",Neither
779,Then she will be fine .,Neither
781,I think The Gimp is sleeping .,Neither
782,"Well , I guess you will just wake 'em up then , will not you ?",Neither
783,Wake up !,Neither
784,Who is first ?,Neither
785,I ai not fer sure yet .,Neither
788,Up !,Neither
789,Keep an eye on this one .,Neither
792,"That is it ... that is it boy , you are going fine . Oooooooh , just like that ... that is good .",Neither
