,dialogue,label
422,"One drink and leave . Do not be rude , but drink your drink quickly , say goodbye , walk out the door , get in your car , and go down the road .",Hate
450,"I do not know you , who is this , do not come here , I am hanging up .",Hate
488,"While I am doing this , take her shirt off and find her heart .",Hate
507,"Then once you do , push down on the plunger .",Hate
533,"Butch , stop watching TV a second . We got a special visitor . Now do you remember when I told you your daddy dy in a P.O.W . camp ?",Hate
536,"Hopefully , you will never have to experience this yourself , but when two men are in a situation like me and your Daddy were , for a long a we were , you take on certain responsibility of the other . If it had been me who had not made it , Major Coolidge would be talking right now to my son Jim . But the way it worked out is I am talking to you , Butch . I got something for ya .",Hate
555,"I am prepared to scour the earth for this motherfucker . If Butch go to Indo China , I want a nigger hiding in a bowl of rice , ready to pop a cap in his as .",Hate
571,Killing a man . Beating another man to death with your bare hand .,Hate
639,"If they find u , they will kill u , will not they ?",Hate
728,( to Fabienne ) No ! It is not your fault .,Hate
760,Can I help you wit ' something ?,Hate
805,"Rapist here . It ai not nobody else is business . Two : leave town . Tonight . Right now . And when you are gone , stay gone .",Hate
808,"Go on now , get your as outta here .",Hate
838,"`` ... blessed is he who , in the name of charity and good will , shephered the weak through the valley of darkness . And I will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brother . And you will know I am the Lord when I lay my vengeance upon you . ''",Hate
914,"When Bonnie go shoppin ; , she buy shit . I buy the gourmet expensive stuff 'cause when I drink it , I wan na taste it . But what is on my mind at this moment is not the coffee in my kitchen , it is the dead nigger in my garage .",Hate
916,"I am talking . Now let me ask you a question , Jules . When you drove in here , did you notice a sign out front that said , `` Dead nigger storage ? ''",Hate
917,"answer to question . Did you see a sign out in front of my house that said , `` Dead nigger storage ? ''",Hate
924,"do not fucking Jimmie me , man , I can not be Jimmied . There is nothing you can say that is gon na make me forget I love my wife . Now she is working the graveyard shift at the hospital . She will be coming home in le than an hour and a half . Make your phone call , talk to your people , than get the fuck out of my house .",Hate
925,"That is all we want . We do not wan na fuck up your shit , We just need to call our people to bring u in .",Hate
931,"I do not wan na hear about no motherfucking `` ifs . `` What I wan na hear from your as is : `` you ai not got no problem , Jules . I am on the motherfucker . Go back in there , chill them nigger out and wait for the cavalry , which should be coming directly . ''",Hate
971,"Set is straight , Buster . I am not here to say `` please . `` I am here to tell you want to do . And if self-preservation is an instinct you posse , you better fucking do it and do it quick . I am here to help . If my help is not appreciated , lotsa luck gentleman .",Hate
974,"If I am curt with you , it is because time is a factor . I think fast , I talk fast , and I need you guy to act fast if you want to get out of this . So pretty please , with sugar on top , clean the fucking car .",Hate
994,"what Jimmie Walker usta talk about . In fact , what the fuck am I doing in the back ? You are the motherfucker should be on brain detail . We are trading . I am washing window and you are picking up this nigger is skull .",Hate
1080,"So if you are quitting the life , what will you do ?",Hate
1098,Any of you fucking prick move and I will execute every one of you motherfucker ! Got that ? !,Hate
1101,"You Mexicans in the kitchen , get out here ! Asta luego !",Hate
1129,"Quit causing problem , you will get u all killed ! Give 'em what you got and get 'em out of here .",Hate
1138,"Let him go ! Let him go ! I will blow your fucking head off ! I will kill ya ! I will kill ya ! You are gon na die , you are gon na fucking die bad !",Hate
1181,"Blessed is he who , in the name of charity and good will , shepherd the weak through the valley of the darkness . For he is truly his brother is keeper and the finder of lost child . And I will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brother . And you will know I am the Lord when I lay my vengeance upon you . `` I been saying that shit for year .",Hate
